Year,Month,Day,Site,NABAEnglishName,ButterflyCount,Party_Hours,#Parties
1984,8,5,AtascosaHighlandsAZ,Pipevine Swallowtail,82,41,5
1984,8,5,AtascosaHighlandsAZ,Arizona Metalmark,71,41,5
1984,8,5,AtascosaHighlandsAZ,Fatal Metalmark,1,41,5
1984,8,5,AtascosaHighlandsAZ,'Siva' Juniper Hairstreak,1,41,5
1984,8,5,AtascosaHighlandsAZ,Common Streaky-Skipper,7,41,5
1984,8,5,AtascosaHighlandsAZ,White-striped Longtail,20,41,5
1984,8,5,AtascosaHighlandsAZ,Bordered Patch,3,41,5
1984,8,5,AtascosaHighlandsAZ,Theona Checkerspot,3,41,5
1984,8,5,AtascosaHighlandsAZ,Arizona Skipper,36,41,5
1984,8,5,AtascosaHighlandsAZ,Valeriana Skipper,1,41,5
1984,8,5,AtascosaHighlandsAZ,Gold-costa Skipper,2,41,5
1984,8,5,AtascosaHighlandsAZ,Acacia Skipper,41,41,5
1984,8,5,AtascosaHighlandsAZ,Southern Dogface,132,41,5
1984,8,5,AtascosaHighlandsAZ,Orange Sulphur,10,41,5
1984,8,5,AtascosaHighlandsAZ,Orange Skipperling,39,41,5
1984,8,5,AtascosaHighlandsAZ,'Henshaw's' Nabokov's Satyr,1,41,5
1984,8,5,AtascosaHighlandsAZ,Queen,162,41,5
1984,8,5,AtascosaHighlandsAZ,Monarch,9,41,5
1984,8,5,AtascosaHighlandsAZ,Tiny Checkerspot,37,41,5
1984,8,5,AtascosaHighlandsAZ,Mathew's Groundstreak,1,41,5
1984,8,5,AtascosaHighlandsAZ,Zela Metalmark,20,41,5
1984,8,5,AtascosaHighlandsAZ,Funereal Duskywing,7,41,5
1984,8,5,AtascosaHighlandsAZ,Variegated Fritillary,6,41,5
1984,8,5,AtascosaHighlandsAZ,Little Yellow,1,41,5
1984,8,5,AtascosaHighlandsAZ,Mexican Yellow,43,41,5
1984,8,5,AtascosaHighlandsAZ,Sleepy Orange,24,41,5
1984,8,5,AtascosaHighlandsAZ,Tailed Orange,143,41,5
1984,8,5,AtascosaHighlandsAZ,Ceraunus Blue,24,41,5
1984,8,5,AtascosaHighlandsAZ,Reakirt's Blue,168,41,5
1984,8,5,AtascosaHighlandsAZ,Pahaska Skipper,13,41,5
1984,8,5,AtascosaHighlandsAZ,Common Buckeye,9,41,5
1984,8,5,AtascosaHighlandsAZ,Tropical Buckeye (form nigrosuffusa),29,41,5
1984,8,5,AtascosaHighlandsAZ,Lyside Sulphur,5,41,5
1984,8,5,AtascosaHighlandsAZ,Marine Blue,147,41,5
1984,8,5,AtascosaHighlandsAZ,Eufala Skipper,1,41,5
1984,8,5,AtascosaHighlandsAZ,American Snout,2416,41,5
1984,8,5,AtascosaHighlandsAZ,Viceroy,1,41,5
1984,8,5,AtascosaHighlandsAZ,Red-spotted Purple,9,41,5
1984,8,5,AtascosaHighlandsAZ,Ursine Giant-Skipper,1,41,5
1984,8,5,AtascosaHighlandsAZ,Red Satyr,5,41,5
1984,8,5,AtascosaHighlandsAZ,Leda Ministreak,12,41,5
1984,8,5,AtascosaHighlandsAZ,Dainty Sulphur,126,41,5
1984,8,5,AtascosaHighlandsAZ,Giant Swallowtail,32,41,5
1984,8,5,AtascosaHighlandsAZ,Two-tailed Swallowtail,29,41,5
1984,8,5,AtascosaHighlandsAZ,Black Swallowtail,2,41,5
1984,8,5,AtascosaHighlandsAZ,Large Orange Sulphur,2,41,5
1984,8,5,AtascosaHighlandsAZ,Cloudless Sulphur,434,41,5
1984,8,5,AtascosaHighlandsAZ,Common Sootywing,6,41,5
1984,8,5,AtascosaHighlandsAZ,Cabbage White,1,41,5
1984,8,5,AtascosaHighlandsAZ,Acmon Blue,3,41,5
1984,8,5,AtascosaHighlandsAZ,Hammock Skipper,3,41,5
1984,8,5,AtascosaHighlandsAZ,Checkered White,19,41,5
1984,8,5,AtascosaHighlandsAZ,White Checkered-Skipper,9,41,5
1984,8,5,AtascosaHighlandsAZ,Desert Checkered-Skipper,46,41,5
1984,8,5,AtascosaHighlandsAZ,Dull Firetip,96,41,5
1984,8,5,AtascosaHighlandsAZ,Golden-headed Scallopwing,15,41,5
1984,8,5,AtascosaHighlandsAZ,Mallow Scrub-Hairstreak,2,41,5
1984,8,5,AtascosaHighlandsAZ,Gray Hairstreak,10,41,5
1984,8,5,AtascosaHighlandsAZ,Texas Powdered-Skipper,1,41,5
1984,8,5,AtascosaHighlandsAZ,Arizona Powdered-Skipper,10,41,5
1984,8,5,AtascosaHighlandsAZ,Elada Checkerspot,43,41,5
1984,8,5,AtascosaHighlandsAZ,Drusius Cloudywing,5,41,5
1984,8,5,AtascosaHighlandsAZ,Northern Cloudywing,59,41,5
1984,8,5,AtascosaHighlandsAZ,Dorantes Longtail,15,41,5
1984,8,5,AtascosaHighlandsAZ,Long-tailed Skipper,2,41,5
1984,8,5,AtascosaHighlandsAZ,Painted Lady,3,41,5
1984,8,5,AtascosaHighlandsAZ,American Lady,80,41,5
1985,8,17,AtascosaHighlandsAZ,Desert Cloudywing,2,22,3
1985,8,17,AtascosaHighlandsAZ,California Sister,2,22,3
1985,8,17,AtascosaHighlandsAZ,Gulf Fritillary,10,22,3
1985,8,17,AtascosaHighlandsAZ,Bronze Roadside-Skipper,4,22,3
1985,8,17,AtascosaHighlandsAZ,Cassus Roadside-Skipper,1,22,3
1985,8,17,AtascosaHighlandsAZ,Large Roadside-Skipper,15,22,3
1985,8,17,AtascosaHighlandsAZ,Mormon Metalmark,1,22,3
1985,8,17,AtascosaHighlandsAZ,Palmer's Metalmark,53,22,3
1985,8,17,AtascosaHighlandsAZ,Hackberry Emperor,7,22,3
1985,8,17,AtascosaHighlandsAZ,Tawny Emperor,1,22,3
1985,8,17,AtascosaHighlandsAZ,Empress Leilia,11,22,3
1985,8,17,AtascosaHighlandsAZ,Golden Banded-Skipper,12,22,3
1985,8,17,AtascosaHighlandsAZ,Pipevine Swallowtail,113,22,3
1985,8,17,AtascosaHighlandsAZ,Western Pygmy-Blue,1,22,3
1985,8,17,AtascosaHighlandsAZ,Arizona Metalmark,7,22,3
1985,8,17,AtascosaHighlandsAZ,Fatal Metalmark,1,22,3
1985,8,17,AtascosaHighlandsAZ,Common Streaky-Skipper,16,22,3
1985,8,17,AtascosaHighlandsAZ,Theona Checkerspot,4,22,3
1985,8,17,AtascosaHighlandsAZ,Arizona Skipper,13,22,3
1985,8,17,AtascosaHighlandsAZ,Gold-costa Skipper,1,22,3
1985,8,17,AtascosaHighlandsAZ,Acacia Skipper,16,22,3
1985,8,17,AtascosaHighlandsAZ,Southern Dogface,146,22,3
1985,8,17,AtascosaHighlandsAZ,Orange Sulphur,2,22,3
1985,8,17,AtascosaHighlandsAZ,Orange Skipperling,5,22,3
1985,8,17,AtascosaHighlandsAZ,Queen,132,22,3
1985,8,17,AtascosaHighlandsAZ,Monarch,2,22,3
1985,8,17,AtascosaHighlandsAZ,Dymasia dymas chara,84,22,3
1985,8,17,AtascosaHighlandsAZ,Ares Metalmark,2,22,3
1985,8,17,AtascosaHighlandsAZ,Funereal Duskywing,8,22,3
1985,8,17,AtascosaHighlandsAZ,Mournful Duskywing,2,22,3
1985,8,17,AtascosaHighlandsAZ,Variegated Fritillary,4,22,3
1985,8,17,AtascosaHighlandsAZ,Mexican Yellow,61,22,3
1985,8,17,AtascosaHighlandsAZ,Sleepy Orange,82,22,3
1985,8,17,AtascosaHighlandsAZ,Tailed Orange,2,22,3
1985,8,17,AtascosaHighlandsAZ,Ceraunus Blue,4,22,3
1985,8,17,AtascosaHighlandsAZ,Reakirt's Blue,36,22,3
1985,8,17,AtascosaHighlandsAZ,Pahaska Skipper,23,22,3
1985,8,17,AtascosaHighlandsAZ,Common Buckeye,5,22,3
1985,8,17,AtascosaHighlandsAZ,Tropical Buckeye (form nigrosuffusa),63,22,3
1985,8,17,AtascosaHighlandsAZ,Lyside Sulphur,6,22,3
1985,8,17,AtascosaHighlandsAZ,Marine Blue,89,22,3
1985,8,17,AtascosaHighlandsAZ,Eufala Skipper,1,22,3
1985,8,17,AtascosaHighlandsAZ,American Snout,1373,22,3
1985,8,17,AtascosaHighlandsAZ,Red-spotted Purple,1,22,3
1985,8,17,AtascosaHighlandsAZ,Leda Ministreak,15,22,3
1985,8,17,AtascosaHighlandsAZ,Dainty Sulphur,35,22,3
1985,8,17,AtascosaHighlandsAZ,Giant Swallowtail,22,22,3
1985,8,17,AtascosaHighlandsAZ,Two-tailed Swallowtail,38,22,3
1985,8,17,AtascosaHighlandsAZ,Black Swallowtail,1,22,3
1985,8,17,AtascosaHighlandsAZ,Large Orange Sulphur,5,22,3
1985,8,17,AtascosaHighlandsAZ,Cloudless Sulphur,738,22,3
1985,8,17,AtascosaHighlandsAZ,Common Sootywing,2,22,3
1985,8,17,AtascosaHighlandsAZ,Painted Crescent,1,22,3
1985,8,17,AtascosaHighlandsAZ,Texan Crescent,3,22,3
1985,8,17,AtascosaHighlandsAZ,Acmon Blue,1,22,3
1985,8,17,AtascosaHighlandsAZ,Hammock Skipper,3,22,3
1985,8,17,AtascosaHighlandsAZ,Checkered White,11,22,3
1985,8,17,AtascosaHighlandsAZ,White Checkered-Skipper,3,22,3
1985,8,17,AtascosaHighlandsAZ,Desert Checkered-Skipper,7,22,3
1985,8,17,AtascosaHighlandsAZ,Dull Firetip,473,22,3
1985,8,17,AtascosaHighlandsAZ,Golden-headed Scallopwing,6,22,3
1985,8,17,AtascosaHighlandsAZ,Gray Hairstreak,8,22,3
