Site,year,Mseason_tmean,Mseason_tmin,Mseason_tmax,Mseason_precip,previous_Mseason_precip
GrandCanyonDesertView,2012,22.025376344086023,8.3,35.3,236.16,111.96
GrandCanyonDesertView,2013,21.374982078853048,2.5,37.1,242.01999999999998,236.16
GrandCanyonDesertView,2014,22.065017921146953,6.1,35.6,173.51,242.01999999999998
GrandCanyonDesertView,2015,21.86899641577061,9.4,36.8,176.21,173.51
GrandCanyonDesertView,2016,21.609175627240145,4.6,37.3,183.38,176.21
GrandCanyonDesertView,2017,21.76200716845878,0.2,36.7,116.91,183.38
GrandCanyonDesertView,2018,23.161182795698927,9.2,36.1,114.16,116.91
GrandCanyonDesertView,2019,23.217491039426523,6.4,36,30.41,114.16
GrandCanyonDesertView,2020,23.954480286738352,2.8,37.2,27.150000000000002,30.41
GrandCanyonDesertView,2021,23.312293906810037,7.3,40,107.87,27.150000000000002
GrandCanyonNorthRim,1981,20.26462365591398,5.6,33.9,218.22000000000003,NA
GrandCanyonNorthRim,1982,18.897849462365592,-1,32.9,171.89,218.22000000000003
GrandCanyonNorthRim,1983,19.686451612903227,3.7,33,241.62,171.89
GrandCanyonNorthRim,1984,18.29569892473118,2.7,32.9,186.08,241.62
GrandCanyonNorthRim,1985,18.261290322580646,-2.2,35.9,124.49000000000001,186.08
GrandCanyonNorthRim,1986,17.316164874551973,-1.2,32.3,127.16999999999999,124.49000000000001
GrandCanyonNorthRim,1987,18.031505376344086,2.7,31.7,152.04000000000002,127.16999999999999
GrandCanyonNorthRim,1988,18.28247311827957,-0.6,32.5,97.33999999999999,152.04000000000002
GrandCanyonNorthRim,1989,18.66168458781362,0.5,36,122.26,97.33999999999999
GrandCanyonNorthRim,1990,19.34777777777778,3.4,34,172.44,122.26
GrandCanyonNorthRim,1991,19.623405017921147,6.4,33,84.41,172.44
GrandCanyonNorthRim,1992,18.845412186379928,5.4,31.9,202.8,84.41
GrandCanyonNorthRim,1993,19.04007168458781,1.7,33.5,90.06,202.8
GrandCanyonNorthRim,1994,20.301720430107526,4.4,35,105.17999999999999,90.06
GrandCanyonNorthRim,1995,20.039641577060934,0.6,34.9,107.41,105.17999999999999
GrandCanyonNorthRim,1996,19.791612903225804,0.7,34.6,112.91,107.41
GrandCanyonNorthRim,1997,19.3173835125448,3.9,34.7,200,112.91
GrandCanyonNorthRim,1998,19.704838709677418,6.4,36,182.97,200
GrandCanyonNorthRim,1999,18.344587813620073,1.9,34.1,228.57,182.97
GrandCanyonNorthRim,2000,19.9663082437276,-2.3,35,82.9,228.57
GrandCanyonNorthRim,2001,19.730179211469533,4.2,34.4,109.86999999999999,82.9
GrandCanyonNorthRim,2002,20.167956989247312,2.1,37,110.7,109.86999999999999
GrandCanyonNorthRim,2003,20.950394265232973,2.1,37.6,104.06,110.7
GrandCanyonNorthRim,2004,18.851290322580645,-1.4,34,206.29000000000002,104.06
GrandCanyonNorthRim,2005,19.674659498207888,3.9,36.3,109.64,206.29000000000002
GrandCanyonNorthRim,2006,18.836881720430107,-1.2,35.2,121.73,109.64
GrandCanyonNorthRim,2007,20.65405017921147,1.1,36.4,130.4,121.73
GrandCanyonNorthRim,2008,20.022759856630824,5.5,34.4,137.62,130.4
GrandCanyonNorthRim,2009,20.377168458781362,4,35.6,57.980000000000004,137.62
GrandCanyonNorthRim,2010,20.333189964157704,4.4,34.9,89.03,57.980000000000004
GrandCanyonNorthRim,2011,20.351397849462366,5.3,34.4,111.37,89.03
GrandCanyonNorthRim,2012,20.11652329749104,5.9,33.3,175.42000000000002,111.37
GrandCanyonNorthRim,2013,19.261146953405017,-0.4,34.2,270.09000000000003,175.42000000000002
GrandCanyonNorthRim,2014,19.777455197132618,4.8,33.1,188.3,270.09000000000003
GrandCanyonNorthRim,2015,19.733154121863798,7.8,33.1,164.29999999999998,188.3
GrandCanyonNorthRim,2016,19.31863799283154,2.4,34.5,206.89,164.29999999999998
GrandCanyonNorthRim,2017,19.730645161290322,-1.3,35,122.73,206.89
GrandCanyonNorthRim,2018,21.17673835125448,8,33.7,158.41,122.73
GrandCanyonNorthRim,2019,20.837921146953406,3.7,34,38.64,158.41
GrandCanyonNorthRim,2020,21.938494623655913,0.4,35.9,30.01,38.64
GrandCanyonNorthRim,2021,21.175555555555558,4.1,37,125.13000000000001,30.01
GrandCanyonSouthRim,1981,19.309390681003585,4.8,34.2,260.1,NA
GrandCanyonSouthRim,1982,18.20179211469534,-1.4,32.7,179.68,260.1
GrandCanyonSouthRim,1983,18.87516129032258,3,33.6,251.73000000000002,179.68
GrandCanyonSouthRim,1984,17.522903225806452,1.4,32.9,199.04,251.73000000000002
GrandCanyonSouthRim,1985,17.25035842293907,-2.4,36,88.3,199.04
GrandCanyonSouthRim,1986,16.726236559139785,-1.8,32.7,116.6,88.3
GrandCanyonSouthRim,1987,17.011433691756274,1.7,31.7,149,116.6
GrandCanyonSouthRim,1988,17.34179211469534,-1.5,32.3,103.99,149
GrandCanyonSouthRim,1989,17.636379928315414,-1.6,36,125.85,103.99
GrandCanyonSouthRim,1990,18.268243727598566,2.8,34.3,198.24,125.85
GrandCanyonSouthRim,1991,18.76763440860215,3.8,33.3,121.73,198.24
GrandCanyonSouthRim,1992,18.201505376344087,4.1,32.2,184.25,121.73
GrandCanyonSouthRim,1993,18.238387096774193,0.4,33.8,115.38,184.25
GrandCanyonSouthRim,1994,19.053225806451614,2.2,34.2,116.68,115.38
GrandCanyonSouthRim,1995,19.399211469534052,0,35.3,137.24,116.68
GrandCanyonSouthRim,1996,19.01451612903226,-0.1,34.9,132.73,137.24
GrandCanyonSouthRim,1997,18.55326164874552,2.6,34.6,215.22,132.73
GrandCanyonSouthRim,1998,18.860967741935482,3.5,35.6,182,215.22
GrandCanyonSouthRim,1999,17.02505376344086,0.8,34.2,268.5,182
GrandCanyonSouthRim,2000,18.755483870967744,-3.4,33.7,86.97999999999999,268.5
GrandCanyonSouthRim,2001,18.205627240143368,3,32.6,125.23,86.97999999999999
GrandCanyonSouthRim,2002,18.444910394265232,-0.3,35.5,114.92,125.23
GrandCanyonSouthRim,2003,19.592365591397847,1.7,37.4,102.31,114.92
GrandCanyonSouthRim,2004,16.908817204301076,-1.9,32.5,203.04,102.31
GrandCanyonSouthRim,2005,17.5926164874552,-0.2,35.9,107.26,203.04
GrandCanyonSouthRim,2006,17.199605734767026,-2.6,33.8,129.42,107.26
GrandCanyonSouthRim,2007,19.226344086021506,-0.7,36.5,169.25,129.42
GrandCanyonSouthRim,2008,18.459964157706093,1.8,33.4,145.57999999999998,169.25
GrandCanyonSouthRim,2009,18.3210394265233,2.1,35.5,71.91,145.57999999999998
GrandCanyonSouthRim,2010,18.574767025089606,0.6,33.8,104.31,71.91
GrandCanyonSouthRim,2011,18.611505376344088,3.7,33.9,131.81,104.31
GrandCanyonSouthRim,2012,18.689820788530465,2.7,33.3,198.32,131.81
GrandCanyonSouthRim,2013,18.274444444444445,-2.5,35.5,227.66000000000003,198.32
GrandCanyonSouthRim,2014,18.483405017921147,1.8,33.9,192.11,227.66000000000003
GrandCanyonSouthRim,2015,18.521290322580644,4.4,33.4,162.55,192.11
GrandCanyonSouthRim,2016,18.05426523297491,-0.3,34.6,187.65,162.55
