Year,Month,Day,Site,NABAEnglishName,LatinAnalysisName,ButterflyCount,#Parties,PartyHours
2016,7,23,PortalAZ,Gray Hairstreak,Strymon_melinus  ,1,3,20
2016,7,23,PortalAZ,Juvenal's Duskywing,Erynnis_juvenalis  ,1,3,20
2016,7,23,PortalAZ,Large Roadside-Skipper,Amblyscirtes_exoteria  ,6,3,20
2016,7,23,PortalAZ,Marine Blue,Leptotes_marina  ,19,3,20
2016,7,23,PortalAZ,Monarch,Danaus_plexippus ,1,3,20
2016,7,23,PortalAZ,Mournful Duskywing,Erynnis_tristis  ,3,3,20
2016,7,23,PortalAZ,Mylitta Crescent,Phyciodes_mylitta  ,4,3,20
2016,7,23,PortalAZ,Northern Cloudywing,Thorybes_pylades  ,86,3,20
2016,7,23,PortalAZ,Orange Skipperling,Copaeodes_aurantiacus  ,8,3,20
2016,7,23,PortalAZ,Orange Sulphur,Colias_eurytheme  ,76,3,20
2016,7,23,PortalAZ,Orange-edged Roadside-Skipper,Amblyscirtes_fimbriata  ,32,3,20
2016,7,23,PortalAZ,Pacuvius Duskywing,Erynnis_pacuvius ,17,3,20
2016,7,23,PortalAZ,Pahaska Skipper,Hesperia_pahaska  ,2,3,20
2016,7,23,PortalAZ,Painted Lady,Vanessa_cardui  ,6,3,20
2016,7,23,PortalAZ,Pine Satyr,Paramacera_allyni  ,2,3,20
2016,7,23,PortalAZ,Pipevine Swallowtail,Battus_philenor  ,5,3,20
2016,7,23,PortalAZ,Queen,Danaus_gilippus ,10,3,20
2016,7,23,PortalAZ,Reakirt's Blue,Hemiargus_isola  ,25,3,20
2016,7,23,PortalAZ,Red Admiral,Vanessa_atalanta  ,1,3,20
2016,7,23,PortalAZ,Red Satyr,Megisto_rubricata  ,4,3,20
2016,7,23,PortalAZ,Red-spotted Purple,Limenitis_arthemis_astyanax  ,3,3,20
2016,7,23,PortalAZ,Satyr Comma,Polygonia_satyrus  ,1,3,20
2016,7,23,PortalAZ,Sheep Skipper,Atrytonopsis_edwardsii  ,1,3,20
2016,7,23,PortalAZ,Silver-spotted Skipper,Epargyreus_clarus ,2,3,20
2016,7,23,PortalAZ,Siva Juniper Hairstreak,Callophrys_gryneus_siva  ,3,3,20
2016,7,23,PortalAZ,Slaty Roadside-Skipper,Amblyscirtes_nereus  ,6,3,20
2016,7,23,PortalAZ,Sleepy Orange,Eurema_nicippe  ,3,3,20
2016,7,23,PortalAZ,Snow's Skipper,Paratrytone_snowi  ,1,3,20
2016,7,23,PortalAZ,Spring Azure,Celastrina_ladon  ,7,3,20
2016,7,23,PortalAZ,Taxiles Skipper,Poanes_taxiles  ,37,3,20
2016,7,23,PortalAZ,Two-tailed Swallowtail,Papilio_multicaudata  ,25,3,20
2016,7,23,PortalAZ,White Checkered-Skipper,Pyrgus_albescens  ,3,3,20
2017,7,23,PortalAZ,Acacia Skipper,Cogia_hippalus  ,6,3,20
