Year,Month,Day,Site,NABAEnglishName,LatinAnalysisName,ButterflyCount,PartyHours,#Observers,#Parties,TotalDistanceMi
2018,8,6,Ramsey Canyon,Dotted Roadside-Skipper,Amblyscirtes_eos  ,1,59.5,17,7,23
2018,8,6,Ramsey Canyon,Eufala Skipper,Lerodea_eufala  ,1,59.5,17,7,23
2018,4,3,Sabino Canyon,Pipevine Swallowtail,Battus_philenor  ,67,51.5,21,9,33
2018,4,3,Sabino Canyon,Giant Swallowtail,Papilio_cresphontes  ,5,51.5,21,9,33
2018,4,3,Sabino Canyon,Two-tailed Swallowtail,Papilio_multicaudata  ,26,51.5,21,9,33
2018,4,3,Sabino Canyon,Spring White,Pontia_sisymbrii  ,8,51.5,21,9,33
2018,4,3,Sabino Canyon,Desert Pearly Marble,Euchloe_hyantis_lotta ,26,51.5,21,9,33
2018,4,3,Sabino Canyon,Pima Orangetip,Anthocharis_cethura_pima  ,20,51.5,21,9,33
2018,4,3,Sabino Canyon,Sara Orangetip,Anthocharis_sara,29,51.5,21,9,33
2018,4,3,Sabino Canyon,Orange Sulphur,Colias_eurytheme  ,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Southern Dogface,Colias_cesonia  ,6,51.5,21,9,33
2018,4,3,Sabino Canyon,Mexican Yellow,Eurema_mexicana  ,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Sleepy Orange,Eurema_nicippe  ,11,51.5,21,9,33
2018,4,3,Sabino Canyon,Dainty Sulphur,Nathalis_iole  ,3,51.5,21,9,33
2018,4,3,Sabino Canyon,Great Purple Hairstreak,Atlides_halesus  ,7,51.5,21,9,33
2018,4,3,Sabino Canyon,Brown Elfin,Callophrys_augustinus  ,14,51.5,21,9,33
2018,4,3,Sabino Canyon,Thicket Hairstreak,Callophrys_spinetorum  ,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Siva Juniper Hairstreak,Callophrys_gryneus_siva  ,5,51.5,21,9,33
2018,4,3,Sabino Canyon,Gray Hairstreak,Strymon_melinus  ,5,51.5,21,9,33
2018,4,3,Sabino Canyon,Arizona Hairstreak,Erora_quaderna  ,20,51.5,21,9,33
2018,4,3,Sabino Canyon,Western Pygmy-Blue,Brephidium_exile  ,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Marine Blue,Leptotes_marina  ,66,51.5,21,9,33
2018,4,3,Sabino Canyon,Ceraunus Blue,Hemiargus_ceraunus  ,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Spring Azure,Celastrina_ladon  ,14,51.5,21,9,33
2018,4,3,Sabino Canyon,Fatal Metalmark,Calephelis_nemesis  ,1,51.5,21,9,33
2018,4,3,Sabino Canyon,Zela Metalmark,Emesis_zela  ,5,51.5,21,9,33
2018,4,3,Sabino Canyon,American Snout,Libytheana_carinenta  ,9,51.5,21,9,33
2018,4,3,Sabino Canyon,Black Checkerspot,Thessalia_cyneas  ,2,51.5,21,9,33
2018,4,3,Sabino Canyon,Fulvia Checkerspot,Thessalia_fulvia  ,2,51.5,21,9,33
2018,4,3,Sabino Canyon,Bordered Patch,Chlosyne_lacinia  ,12,51.5,21,9,33
2018,4,3,Sabino Canyon,Sagebrush Checkerspot,Chlosyne_acastus  ,17,51.5,21,9,33
2018,4,3,Sabino Canyon,Tiny Checkerspot,Dymasia_dymas  ,281,51.5,21,9,33
