Year,Month,Day,Site,NABAEnglishName,ButterflyCount,PartyHours,#Observers,#Parties,TotalDistanceMi
2021,9,25,McDowell Sonoran Preserve,Sleepy orange,5123,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Southern dogface,76,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Spring azure,13,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Tailed orange,2,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Texan crescent,2,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Tiny checkerspot,25,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Variable (Chalcedon) checkerspot,2,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Variegated fritillary,2,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Violet-clouded skipper,1,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Western pygmy blue,76,28.5,28,6,20
2021,8,9,Patagonia,Acacia skipper,1,63.5,15,8,24
2021,8,9,Patagonia,American lady,4,63.5,15,8,24
2021,8,9,Patagonia,American snout,217,63.5,15,8,24
2021,8,9,Patagonia,Arizona metalmark,1,63.5,15,8,24
2021,8,9,Patagonia,Arizona powdered skipper,1,63.5,15,8,24
2021,8,9,Patagonia,Bronze roadside skipper,1,63.5,15,8,24
2021,8,9,Patagonia,Cabbage white,4,63.5,15,8,24
2021,8,9,Patagonia,Ceraunus blue,36,63.5,15,8,24
2021,8,9,Patagonia,Checkered white,4,63.5,15,8,24
2021,8,9,Patagonia,Cloudless sulphur,932,63.5,15,8,24
2021,8,9,Patagonia,Common buckeye,1,63.5,15,8,24
2021,8,9,Patagonia,Common sootywing,14,63.5,15,8,24
2021,8,9,Patagonia,Common streaky skipper,2,63.5,15,8,24
2021,8,9,Patagonia,Dainty sulphur,46,63.5,15,8,24
2021,8,9,Patagonia,Desert checkered skipper,1,63.5,15,8,24
2021,8,9,Patagonia,Elada checkerspot,48,63.5,15,8,24
2021,8,9,Patagonia,Elissa roadside skipper,1,63.5,15,8,24
2021,8,9,Patagonia,Empress leilia,15,63.5,15,8,24
2021,8,9,Patagonia,Fatal metalmark,18,63.5,15,8,24
2021,8,9,Patagonia,Fiery skipper,15,63.5,15,8,24
2021,8,9,Patagonia,Funereal duskywing,4,63.5,15,8,24
2021,8,9,Patagonia,Golden-headed scallopwing,9,63.5,15,8,24
2021,8,9,Patagonia,Gulf fritillary,10,63.5,15,8,24
2021,8,9,Patagonia,Hackberry emperor,1,63.5,15,8,24
2021,8,9,Patagonia,Large orange sulphur,2,63.5,15,8,24
2021,8,9,Patagonia,Leda ministreak,24,63.5,15,8,24
2021,8,9,Patagonia,Marine blue,403,63.5,15,8,24
2021,8,9,Patagonia,Mexican yellow,11,63.5,15,8,24
2021,8,9,Patagonia,Monarch,18,63.5,15,8,24
2021,8,9,Patagonia,Mournful duskywing,3,63.5,15,8,24
2021,8,9,Patagonia,Mourning cloak,3,63.5,15,8,24
2021,8,9,Patagonia,Orange skipperling,3,63.5,15,8,24
2021,8,9,Patagonia,Orange sulphur,126,63.5,15,8,24
2021,8,9,Patagonia,Pahaska skipper,1,63.5,15,8,24
2021,8,9,Patagonia,Painted crescent,30,63.5,15,8,24
2021,8,9,Patagonia,Painted lady,13,63.5,15,8,24
2021,8,9,Patagonia,Palmer’s metalmark,6,63.5,15,8,24
2021,8,9,Patagonia,Pipevine swallowtail,30,63.5,15,8,24
2021,8,9,Patagonia,Queen,105,63.5,15,8,24
2021,8,9,Patagonia,Reakirt's blue,5,63.5,15,8,24
2021,8,9,Patagonia,Red admiral,2,63.5,15,8,24
2021,8,9,Patagonia,Red satyr,1,63.5,15,8,24
2021,8,9,Patagonia,Sleepy orange,196,63.5,15,8,24
2021,8,9,Patagonia,Southern dogface,32,63.5,15,8,24
2021,8,9,Patagonia,Tailed orange,24,63.5,15,8,24
2021,8,9,Patagonia,Tawny emperor,4,63.5,15,8,24
2021,8,9,Patagonia,Texas roadside skipper,3,63.5,15,8,24
2021,8,9,Patagonia,Theona checkerspot,1,63.5,15,8,24
2021,8,9,Patagonia,Tiny checkerspot,1,63.5,15,8,24
2021,8,9,Patagonia,Variegated fritillary,174,63.5,15,8,24
2021,8,9,Patagonia,Viceroy,7,63.5,15,8,24
2021,8,9,Patagonia,Western pygmy blue,3,63.5,15,8,24
2021,8,9,Patagonia,White checkered skipper,32,63.5,15,8,24
2021,8,9,Patagonia,Zela metalmark,5,63.5,15,8,24
2021,8,6,Portal,American snout,6,7,11,2,5
2021,8,6,Portal,Black swallowtail,1,7,11,2,5
2021,8,6,Portal,Bordered patch,3,7,11,2,5
2021,8,6,Portal,Bronze roadside skipper,2,7,11,2,5
2021,8,6,Portal,California sister,2,7,11,2,5
2021,8,6,Portal,Ceraunus blue,2,7,11,2,5
2021,8,6,Portal,Checkered white,4,7,11,2,5
2021,8,6,Portal,Cloudless sulphur,57,7,11,2,5
2021,8,6,Portal,Common or white checkered skipper,6,7,11,2,5
2021,8,6,Portal,Dainty sulphur,11,7,11,2,5
2021,8,6,Portal,Dotted roadside skipper,1,7,11,2,5
2021,8,6,Portal,Dull firetip,1,7,11,2,5
2021,8,6,Portal,Edwards' skipperling,1,7,11,2,5
2021,8,6,Portal,Elada checkerspot,1,7,11,2,5
2021,8,6,Portal,Four-spotted skipperling,4,7,11,2,5
2021,8,6,Portal,Golden-headed scallopwing,1,7,11,2,5
2021,8,6,Portal,Gulf fritillary,1,7,11,2,5
2021,8,6,Portal,Lyside sulphur,1,7,11,2,5
2021,8,6,Portal,Marine blue,5,7,11,2,5
2021,8,6,Portal,Meridan duskywing,2,7,11,2,5
2021,8,6,Portal,Mexican yellow,9,7,11,2,5
2021,8,6,Portal,Monarch,4,7,11,2,5
2021,8,6,Portal,Moon-marked skipper,2,7,11,2,5
2021,8,6,Portal,Mylitta crescent,3,7,11,2,5
2021,8,6,Portal,Nabokov's satyr,1,7,11,2,5
2021,8,6,Portal,Nais metalmark,2,7,11,2,5
2021,8,6,Portal,Orange skipperling,1,7,11,2,5
2021,8,6,Portal,Orange sulphur,55,7,11,2,5
2021,8,6,Portal,Painted lady,1,7,11,2,5
2021,8,6,Portal,Pipevine swallowtail,2,7,11,2,5
2021,8,6,Portal,Queen,11,7,11,2,5
2021,8,6,Portal,Reakirt's blue,7,7,11,2,5
2021,8,6,Portal,Red admiral,1,7,11,2,5
2021,8,6,Portal,Silver-spotted skipper,2,7,11,2,5
2021,8,6,Portal,Siva juniper hairstreak,4,7,11,2,5
2021,8,6,Portal,Sleepy orange,61,7,11,2,5
2021,8,6,Portal,Snow's skipper,9,7,11,2,5
2021,8,6,Portal,Southern dogface,5,7,11,2,5
2021,8,6,Portal,Tailed orange,1,7,11,2,5
2021,8,6,Portal,Taxiles skipper,14,7,11,2,5
2021,8,6,Portal,Texas roadside skipper,1,7,11,2,5
2021,8,6,Portal,Tiny checkerspot,1,7,11,2,5
2021,8,6,Portal,Two-tailed swallowtail,10,7,11,2,5
2021,8,6,Portal,Variegated fritillary,112,7,11,2,5
2021,8,2,Ramsey Canyon,Acmon blue,1,48,12,8,48
2021,8,2,Ramsey Canyon,American lady,6,48,12,8,48
2021,8,2,Ramsey Canyon,American snout,29,48,12,8,48
2021,8,2,Ramsey Canyon,Ares metalmark,6,48,12,8,48
2021,8,2,Ramsey Canyon,Arizona hairstreak,2,48,12,8,48
2021,8,2,Ramsey Canyon,Black checkerspot,1,48,12,8,48
2021,8,2,Ramsey Canyon,Bordered patch,5,48,12,8,48
2021,8,2,Ramsey Canyon,Bronze roadside skipper,7,48,12,8,48
2021,8,2,Ramsey Canyon,California sister,6,48,12,8,48
2021,8,2,Ramsey Canyon,Cassus roadside skipper,2,48,12,8,48
2021,8,2,Ramsey Canyon,Ceraunus blue,13,48,12,8,48
2021,8,2,Ramsey Canyon,Checkered white,74,48,12,8,48
2021,8,2,Ramsey Canyon,Cloudless sulphur,129,48,12,8,48
2021,8,2,Ramsey Canyon,Common sootywing,5,48,12,8,48
2021,8,2,Ramsey Canyon,Common streaky skipper,1,48,12,8,48
2021,8,2,Ramsey Canyon,Common or white checkered skipper,14,48,12,8,48
2021,8,2,Ramsey Canyon,Dainty sulphur,35,48,12,8,48
2021,8,2,Ramsey Canyon,Desert checkered skipper,3,48,12,8,48
2021,8,2,Ramsey Canyon,Edwards' skipperling,1,48,12,8,48
