site,lat,long,urb16_1mi,urb16_5mi,urb16_25mi,urb92_1mi,urb92_5mi,urb92_25mi,crop08_1mi,crop08_5mi,crop08_25mi,crop19_1mi,crop19_5mi,crop19_25mi,crop_1mi,crop_5mi,crop_25mi,urb_1mi,urb_5mi,urb_25mi,urb25PerYear,crop25PerYear
TigardOR,45.43,-122.77,0.955193,0.757354,0.26373,0.875737,0.572342,0.187329,0.001088,0.157653,0.019332,0.001633,0.026587,0.18897,0.000544,-0.131066,0.169638,0.767864,0.185012,0.076401,0.003183375,0.015421636
GoodingCityofRocksID,43.1689,-114.6588,0.023946,0.004696,0.016982,0,0,0.003685,0.000181,0.164786,0.005347,0.000272,0.004242,0.1608,0.000091,-0.160544,0.155453,0.020261,0.004696,0.013297,0.000554042,0.014132091
PleasantviewHillsID,42.2471,-112.5267,0,0.010148,0.017953,0,0,0.00226,0.001088,0.211338,0.090971,0.000091,0.119716,0.246182,-0.000998,-0.091622,0.15521,-0.00226,0.010148,0.015693,0.000653875,0.01411
TrapperCreekID,42.1678,-113.98,0.001995,0.008381,0.015568,0,0.000046,0.00312,0.036009,0.17879,0.033113,0.026667,0.028695,0.180577,-0.009342,-0.150095,0.147464,-0.001125,0.008335,0.012448,0.000518667,0.013405818
LoryStateParkCO,40.57,-105.18,0.009977,0.182218,0.080734,0.000272,0.135665,0.038397,0.001451,0.175745,0.026344,0.000544,0.043233,0.170403,-0.000907,-0.132512,0.144059,-0.02842,0.046553,0.042337,0.001764042,0.013096273
RooseveltNationalForestCO,40.3653,-105.3253,0,0.006058,0.089336,0.000272,0.003675,0.042353,0.000091,0.158336,0.000137,0,0.000028,0.144074,-0.000091,-0.158308,0.143937,-0.042353,0.002383,0.046983,0.001957625,0.013085182
BennetHills,43.0833,-115.0663,0,0.002453,0.016249,0,0,0.003192,0,0.158042,0.013397,0,0.013193,0.153459,0,-0.144849,0.140062,-0.003192,0.002453,0.013057,0.000544042,0.012732909
Berger,42.4409,-114.7184,0,0.013957,0.032146,0,0.000172,0.008258,0.000907,0.256073,0.125535,0,0.117284,0.252965,-0.000907,-0.138789,0.12743,-0.008258,0.013785,0.023888,0.000995333,0.011584545
MarysPeakOR,44.51,-123.55,0.051973,0.050586,0.067433,0,0.000764,0.022191,0,0.155731,0.00188,0.000091,0.001443,0.127509,0.000091,-0.154288,0.125629,0.029782,0.049822,0.045242,0.001885083,0.011420818
ChatfieldNaturePreserveCO,39.88,-105.17,0.088798,0.375213,0.284207,0.014603,0.223127,0.188234,0.081361,0.144312,0.028892,0.02059,0.015006,0.138329,-0.060771,-0.129306,0.109437,-0.099436,0.152086,0.095973,0.003998875,0.009948818
BroomfieldCounty,39.9195,-105.0678,0.956463,0.671987,0.282713,0.550023,0.383595,0.187553,0.026757,0.216167,0.103302,0.015419,0.09163,0.211376,-0.011338,-0.124537,0.108074,0.76891,0.288392,0.09516,0.003965,0.009824909
SnowPeakOR,44.63,-122.58,0,0,0.040731,0,0,0.026586,0,0.109415,0.000011,0,0.000074,0.103005,0,-0.109341,0.102994,-0.026586,0,0.014145,0.000589375,0.009363091
LavaBedsNationalMonument,41.7668,-121.5253,0,0.010518,0.016081,0,0.000268,0.002798,0,0.115197,0.024971,0,0.030494,0.127658,0,-0.084703,0.102687,-0.002798,0.01025,0.013283,0.000553458,0.009335182
CalWoodOutdoorLearningCenterCO,40.15,-105.3902,0,0.01344,0.13196,0,0.01415,0.073073,0.000181,0.109866,0.000106,0,0.000056,0.094537,-0.000181,-0.10981,0.094432,-0.073073,-0.00071,0.058887,0.002453625,0.008584727
PortlandOR,45.58,-122.75,0.618775,0.583208,0.261086,0.485442,0.444326,0.189756,0.000907,0.099781,0.022694,0.003719,0.022908,0.115252,0.002812,-0.076873,0.092558,0.429019,0.138882,0.07133,0.002972083,0.008414364
BeniciaCA,38.0691,-122.1847,0.524717,0.400311,0.254518,0.396009,0.299885,0.192819,0.000272,0.087418,0.004598,0.021315,0.008166,0.096799,0.021043,-0.079251,0.092201,0.331898,0.100426,0.061699,0.002570792,0.008381909
ChumstickMtn,47.6507,-120.4509,0.071746,0.048879,0.045693,0.001361,0.001644,0.013109,0,0.092539,0.001295,0.000907,0.001232,0.092387,0.000907,-0.091307,0.091091,0.058637,0.047235,0.032584,0.001357667,0.008281
MonarchMT,47.05,-110.9333,0,0.001098,0.004186,0,0,0.000795,0,0.075015,0.003531,0.000181,0.002299,0.085605,0.000181,-0.072716,0.082075,-0.000795,0.001098,0.003391,0.000141292,0.007461364
BoiseFrontID,43.7127,-116.144,0,0.038249,0.084186,0,0.024429,0.041654,0.000544,0.102223,0.007139,0.000272,0.002869,0.088619,-0.000272,-0.099354,0.08148,-0.041654,0.01382,0.042532,0.001772167,0.007407273
OakCreekWA,46.7,-120.97,0.066757,0.041339,0.052594,0,0.00057,0.024272,0,0.078323,0.000229,0,0.000074,0.081684,0,-0.078249,0.081455,0.042485,0.040769,0.028322,0.001180083,0.007405
LandsEndRoadCO,39,-108.23,0,0.000021,0.0389,0,0.001045,0.018491,0,0.048005,0.00333,0.000272,0.01301,0.072137,0.000272,-0.034995,0.068807,-0.018491,-0.001024,0.020409,0.000850375,0.006255182
